,study_name,study_sid,measurement_type,group_count,group_name,max,substance,count,calculation_type,group_parent_pk,sd,unit,se,min,cv,median,group_pk,characteristica_pk,mean,choice,value
22,Divoll1982,PKDB00131,medication,12,elderly subjects,,,3,sample mean,46.0,,,,,,,48,1009,,Y,
23,Divoll1982,PKDB00131,healthy,12,elderly subjects,,,12,sample mean,46.0,,,,,,,48,1010,,Y,
24,Divoll1982,PKDB00131,overnight fast,12,elderly subjects,,,28,sample mean,46.0,,,,,,,48,980,,Y,
25,Albert1974,PKDB00022,species,10,all,,,10,sample mean,,,,,,,,75,1346,,homo sapiens,
26,Albert1974,PKDB00022,healthy,10,all,,,10,sample mean,,,,,,,,75,1347,,Y,
27,Albert1974,PKDB00022,sex,10,all,,,10,sample mean,,,,,,,,75,1348,,M,
28,Perucca1979,PKDB00124,species,6,control,,,12,sample mean,80.0,,,,,,,81,1364,,homo sapiens,
29,Perucca1979,PKDB00124,overnight fast,6,control,,,12,sample mean,80.0,,,,,,,81,1366,,Y,
30,Perucca1979,PKDB00124,age,6,control,42.0,,12,sample mean,80.0,,year,,19.0,,,81,1367,,,
31,Perucca1979,PKDB00124,sex,6,control,,,12,sample mean,80.0,,,,,,,81,1368,,NR,
32,Perucca1979,PKDB00124,healthy,6,control,,,6,sample mean,80.0,,,,,,,81,1372,,Y,
33,Perucca1979,PKDB00124,medication,6,control,,,6,sample mean,80.0,,,,,,,81,1373,,N,
34,Perucca1979,PKDB00124,abstinence medication,6,control,,,6,sample mean,80.0,,day,,182.625,,,81,1374,,,
35,Perucca1979,PKDB00124,healthy,6,epileptic,,,6,sample mean,80.0,,,,,,,82,1378,,N,
36,Perucca1979,PKDB00124,medication,6,epileptic,,,6,sample mean,80.0,,,,,,,82,1379,,Y,
37,Perucca1979,PKDB00124,disease,6,epileptic,,,6,sample mean,80.0,,,,,,,82,1380,,epilepsy,
38,Perucca1979,PKDB00124,species,6,epileptic,,,12,sample mean,80.0,,,,,,,82,1364,,homo sapiens,
39,Perucca1979,PKDB00124,overnight fast,6,epileptic,,,12,sample mean,80.0,,,,,,,82,1366,,Y,
40,Perucca1979,PKDB00124,age,6,epileptic,42.0,,12,sample mean,80.0,,year,,19.0,,,82,1367,,,
41,Perucca1979,PKDB00124,sex,6,epileptic,,,12,sample mean,80.0,,,,,,,82,1368,,NR,
42,Malan1985,PKDB00119,medication,6,all,,,6,sample mean,,,,,,,,119,1936,,N,
43,Malan1985,PKDB00119,overnight fast,6,all,,,6,sample mean,,,,,,,,119,1937,,Y,
44,Malan1985,PKDB00119,fasting (duration),6,all,,,6,sample mean,,,day,,0.3333333333333333,,,119,1938,,,
45,Malan1985,PKDB00119,species,6,all,,,6,sample mean,,,,,,,,119,1932,,homo sapiens,
46,Malan1985,PKDB00119,healthy,6,all,,,6,sample mean,,,,,,,,119,1933,,Y,
47,Malan1985,PKDB00119,sex,6,all,,,6,sample mean,,,,,,,,119,1934,,M,
48,Malan1985,PKDB00119,smoking,6,all,,,6,sample mean,,,,,,,,119,1935,,N,
49,Baraka1990,PKDB00024,species,10,all,,,10,sample mean,,,,,,,,179,2341,,homo sapiens,
50,Baraka1990,PKDB00024,healthy,10,all,,,10,sample mean,,,,,,,,179,2342,,Y,
51,Baraka1990,PKDB00024,smoking,10,all,,,10,sample mean,,,,,,,,179,2343,,N,
52,Baraka1990,PKDB00024,sex,10,all,,,6,sample mean,,,,,,,,179,2344,,M,
53,Baraka1990,PKDB00024,sex,10,all,,,4,sample mean,,,,,,,,179,2345,,F,
54,Baraka1990,PKDB00024,oral contraceptives,10,all,,,10,sample mean,,,,,,,,179,2346,,N,
55,Baraka1990,PKDB00024,medication,10,all,,,10,sample mean,,,,,,,,179,2347,,N,
56,Baraka1990,PKDB00024,age,10,all,32.0,,10,sample mean,,,year,,21.0,,,179,2348,,,
57,Baraka1990,PKDB00024,weight,10,all,85.0,,10,sample mean,,,kilogram,,51.0,,68.0,179,2349,,,
58,Baraka1990,PKDB00024,overnight fast,10,all,,,10,sample mean,,,,,,,,179,2350,,Y,
59,Shinoda2007,PKDB00021,sex,5,volunteers,,,4,sample mean,187.0,,,,,,,188,2608,,F,
60,Shinoda2007,PKDB00021,species,5,volunteers,,,10,sample mean,187.0,,,,,,,188,2595,,homo sapiens,
61,Shinoda2007,PKDB00021,ethnicity,5,volunteers,,,10,sample mean,187.0,,,,,,,188,2598,,japanese,
62,Shinoda2007,PKDB00021,healthy,5,volunteers,,,5,sample mean,187.0,,,,,,,188,2605,,Y,
63,Shinoda2007,PKDB00021,overnight fast,5,volunteers,,,5,sample mean,187.0,,,,,,,188,2606,,Y,
64,Shinoda2007,PKDB00021,sex,5,volunteers,,,1,sample mean,187.0,,,,,,,188,2607,,M,
65,Shinoda2007,PKDB00021,species,5,chronic_pain,,,10,sample mean,187.0,,,,,,,189,2595,,homo sapiens,
66,Shinoda2007,PKDB00021,healthy,5,chronic_pain,,,5,sample mean,187.0,,,,,,,189,2613,,N,
67,Shinoda2007,PKDB00021,ethnicity,5,chronic_pain,,,10,sample mean,187.0,,,,,,,189,2598,,japanese,
68,Shinoda2007,PKDB00021,sex,5,chronic_pain,,,5,sample mean,187.0,,,,,,,189,2614,,M,
69,Shinoda2007,PKDB00021,weight,5,chronic_pain,74.0,,5,sample mean,187.0,11.0,kilogram,,51.0,,,189,2615,60.0,,
70,Shinoda2007,PKDB00021,age,5,chronic_pain,74.0,,5,sample mean,187.0,13.0,year,,40.0,,,189,2616,55.0,,
71,Prescott1981,PKDB00151,healthy,15,patients,,,27,sample mean,237.0,,,,,,,238,4224,,NR,
72,Prescott1981,PKDB00151,species,15,patients,,,15,sample mean,237.0,,,,,,,238,4235,,homo sapiens,
73,Prescott1981,PKDB00151,sex,15,patients,,,12,sample mean,237.0,,,,,,,238,4236,,M,
74,Prescott1981,PKDB00151,sex,15,patients,,,3,sample mean,237.0,,,,,,,238,4237,,F,
75,Prescott1981,PKDB00151,age,15,patients,72.0,,15,sample mean,237.0,,year,,22.0,,,238,4238,41.0,,
76,Prescott1981,PKDB00151,weight,15,patients,99.0,,15,sample mean,237.0,,kilogram,,53.0,,,238,4239,71.0,,
77,Prescott1981,PKDB00151,medication,15,patients,,anticonvulsants,12,sample mean,237.0,,,,,,,238,4240,,Y,
78,Prescott1981,PKDB00151,medication,15,patients,,anticonvulsants,3,sample mean,237.0,,,,,,,238,4241,,N,
79,Prescott1981,PKDB00151,fasting,15,patients,,,15,sample mean,237.0,,,,,,,238,4242,,Y,
80,Prescott1981,PKDB00151,healthy,12,volunteers,,,27,sample mean,237.0,,,,,,,239,4224,,NR,
81,Prescott1981,PKDB00151,species,12,volunteers,,,12,sample mean,237.0,,,,,,,239,4249,,homo sapiens,
82,Prescott1981,PKDB00151,sex,12,volunteers,,,11,sample mean,237.0,,,,,,,239,4250,,M,
83,Prescott1981,PKDB00151,sex,12,volunteers,,,1,sample mean,237.0,,,,,,,239,4251,,F,
84,Prescott1981,PKDB00151,age,12,volunteers,45.0,,12,sample mean,237.0,,year,,21.0,,,239,4252,31.0,,
85,Prescott1981,PKDB00151,weight,12,volunteers,82.0,,12,sample mean,237.0,,kilogram,,55.0,,,239,4253,67.0,,
86,Prescott1981,PKDB00151,medication,12,volunteers,,,12,sample mean,237.0,,,,,,,239,4254,,N,
87,Renner2007,PKDB00125,species,24,all,,,24,sample mean,,,,,,,,258,4551,,homo sapiens,
88,Renner2007,PKDB00125,healthy,24,all,,,24,sample mean,,,,,,,,258,4552,,Y,
89,Renner2007,PKDB00125,fasting (duration),24,all,,,24,sample mean,,,day,,0.25,,,258,4553,,,
90,Renner2007,PKDB00125,sex,24,all,,,12,sample mean,,,,,,,,258,4554,,M,
91,Renner2007,PKDB00125,sex,24,all,,,12,sample mean,,,,,,,,258,4555,,F,
92,Renner2007,PKDB00125,age,24,all,45.0,,24,sample mean,,,year,,18.0,,26.0,258,4556,,,
93,Ganetsky2013,PKDB00121,species,15,all,,,15,sample mean,,,,,,,,352,6467,,homo sapiens,
94,Ganetsky2013,PKDB00121,sex,15,all,,,10,sample mean,,,,,,,,352,6468,,M,
95,Ganetsky2013,PKDB00121,sex,15,all,,,5,sample mean,,,,,,,,352,6469,,F,
96,Ganetsky2013,PKDB00121,abstinence,15,all,,paracetamol,15,sample mean,,,day,,2.0,,,352,6470,,,
97,Ganetsky2013,PKDB00121,fasting (duration),15,all,,,15,sample mean,,,day,,0.041666666666666664,,,352,6471,,,
98,Ganetsky2013,PKDB00121,abstinence alcohol,15,all,,,15,sample mean,,,day,,2.0,,,352,6472,,,
99,Ganetsky2013,PKDB00121,healthy,15,all,,,15,sample mean,,,,,,,,352,6473,,Y,
100,Ganetsky2013,PKDB00121,liver function test,15,all,,,15,sample mean,,,,,,,,352,6474,,normal,
101,Ganetsky2013,PKDB00121,age,15,all,40.0,,15,sample mean,,,year,,18.0,,,352,6475,28.0,,
102,Ganetsky2013,PKDB00121,weight,15,all,128.0,,15,sample mean,,,kilogram,,60.0,,,352,6476,82.0,,
103,Liukas2011,PKDB00154,ethnicity,10,20to40,,,40,sample mean,347.0,,,,,,,348,5920,,caucasian,
104,Liukas2011,PKDB00154,smoking,10,20to40,,,38,sample mean,347.0,,,,,,,348,5921,,N,
105,Liukas2011,PKDB00154,smoking,10,20to40,,,2,sample mean,347.0,,,,,,,348,5922,,Y,
106,Liukas2011,PKDB00154,age,10,20to40,40.0,,10,sample mean,347.0,5.0,year,,20.0,,,348,5932,27.0,,
107,Liukas2011,PKDB00154,sex,10,20to40,,,7,sample mean,347.0,,,,,,,348,5933,,M,
108,Liukas2011,PKDB00154,sex,10,20to40,,,3,sample mean,347.0,,,,,,,348,5934,,F,
109,Liukas2011,PKDB00154,weight,10,20to40,,,10,sample mean,347.0,14.0,kilogram,,,,,348,5935,81.0,,
110,Liukas2011,PKDB00154,height,10,20to40,,,10,sample mean,347.0,0.1,meter,,,,,348,5936,1.77,,
111,Liukas2011,PKDB00154,bmi,10,20to40,,,10,sample mean,347.0,2.2,kilogram / meter ** 2,,,,,348,5937,25.7,,
112,Liukas2011,PKDB00154,gfr,10,20to40,,,10,sample mean,347.0,5.780346820809249,milliliter / meter ** 2 / minute,,,,,348,5938,62.42774566473989,,
113,Liukas2011,PKDB00154,species,10,20to40,,,40,sample mean,347.0,,,,,,,348,5914,,homo sapiens,
114,Liukas2011,PKDB00154,overnight fast,10,20to40,,,40,sample mean,347.0,,,,,,,348,5915,,Y,
115,Liukas2011,PKDB00154,healthy,10,20to40,,,40,sample mean,347.0,,,,,,,348,5916,,Y,
116,Liukas2011,PKDB00154,medication,10,20to40,,,40,sample mean,347.0,,,,,,,348,5917,,N,
117,Liukas2011,PKDB00154,ethnicity,10,60to70,,,40,sample mean,347.0,,,,,,,349,5920,,caucasian,
118,Liukas2011,PKDB00154,smoking,10,60to70,,,38,sample mean,347.0,,,,,,,349,5921,,N,
119,Liukas2011,PKDB00154,smoking,10,60to70,,,2,sample mean,347.0,,,,,,,349,5922,,Y,
120,Liukas2011,PKDB00154,sex,10,60to70,,,5,sample mean,347.0,,,,,,,349,5947,,M,
121,Liukas2011,PKDB00154,gfr,10,60to70,,,10,sample mean,347.0,9.248554913294798,milliliter / meter ** 2 / minute,,,,,349,5952,47.39884393063584,,
122,Liukas2011,PKDB00154,sex,10,60to70,,,5,sample mean,347.0,,,,,,,349,5948,,F,
123,Liukas2011,PKDB00154,weight,10,60to70,,,10,sample mean,347.0,9.0,kilogram,,,,,349,5949,83.0,,
124,Liukas2011,PKDB00154,age,10,60to70,70.0,,10,sample mean,347.0,3.0,year,,60.0,,,349,5946,66.0,,
125,Liukas2011,PKDB00154,species,10,60to70,,,40,sample mean,347.0,,,,,,,349,5914,,homo sapiens,
126,Liukas2011,PKDB00154,overnight fast,10,60to70,,,40,sample mean,347.0,,,,,,,349,5915,,Y,
127,Liukas2011,PKDB00154,healthy,10,60to70,,,40,sample mean,347.0,,,,,,,349,5916,,Y,
128,Liukas2011,PKDB00154,medication,10,60to70,,,40,sample mean,347.0,,,,,,,349,5917,,N,
129,Liukas2011,PKDB00154,height,10,60to70,,,10,sample mean,347.0,0.09,meter,,,,,349,5950,1.69,,
130,Liukas2011,PKDB00154,bmi,10,60to70,,,10,sample mean,347.0,1.5,kilogram / meter ** 2,,,,,349,5951,29.0,,
131,Liukas2011,PKDB00154,ethnicity,10,70to80,,,40,sample mean,347.0,,,,,,,350,5920,,caucasian,
132,Liukas2011,PKDB00154,smoking,10,70to80,,,38,sample mean,347.0,,,,,,,350,5921,,N,
133,Liukas2011,PKDB00154,smoking,10,70to80,,,2,sample mean,347.0,,,,,,,350,5922,,Y,
134,Liukas2011,PKDB00154,age,10,70to80,80.0,,10,sample mean,347.0,3.0,year,,70.0,,,350,5960,77.0,,
135,Liukas2011,PKDB00154,sex,10,70to80,,,6,sample mean,347.0,,,,,,,350,5961,,M,
136,Liukas2011,PKDB00154,sex,10,70to80,,,4,sample mean,347.0,,,,,,,350,5962,,F,
137,Liukas2011,PKDB00154,weight,10,70to80,,,10,sample mean,347.0,13.0,kilogram,,,,,350,5963,82.0,,
138,Liukas2011,PKDB00154,height,10,70to80,,,10,sample mean,347.0,0.1,meter,,,,,350,5964,1.69,,
139,Liukas2011,PKDB00154,bmi,10,70to80,,,10,sample mean,347.0,3.3,kilogram / meter ** 2,,,,,350,5965,28.9,,
140,Liukas2011,PKDB00154,gfr,10,70to80,,,10,sample mean,347.0,9.826589595375724,milliliter / meter ** 2 / minute,,,,,350,5966,43.930635838150295,,
141,Liukas2011,PKDB00154,species,10,70to80,,,40,sample mean,347.0,,,,,,,350,5914,,homo sapiens,
142,Liukas2011,PKDB00154,overnight fast,10,70to80,,,40,sample mean,347.0,,,,,,,350,5915,,Y,
143,Liukas2011,PKDB00154,healthy,10,70to80,,,40,sample mean,347.0,,,,,,,350,5916,,Y,
144,Liukas2011,PKDB00154,medication,10,70to80,,,40,sample mean,347.0,,,,,,,350,5917,,N,
145,Liukas2011,PKDB00154,ethnicity,10,80to90,,,40,sample mean,347.0,,,,,,,351,5920,,caucasian,
146,Liukas2011,PKDB00154,smoking,10,80to90,,,38,sample mean,347.0,,,,,,,351,5921,,N,
147,Liukas2011,PKDB00154,smoking,10,80to90,,,2,sample mean,347.0,,,,,,,351,5922,,Y,
148,Liukas2011,PKDB00154,bmi,10,80to90,,,10,sample mean,347.0,2.2,kilogram / meter ** 2,,,,,351,5979,26.3,,
149,Liukas2011,PKDB00154,gfr,10,80to90,,,10,sample mean,347.0,10.982658959537574,milliliter / meter ** 2 / minute,,,,,351,5980,36.994219653179194,,
150,Liukas2011,PKDB00154,height,10,80to90,,,10,sample mean,347.0,0.07,meter,,,,,351,5978,1.6,,
151,Liukas2011,PKDB00154,age,10,80to90,90.0,,10,sample mean,347.0,3.0,year,,80.0,,,351,5974,84.0,,
152,Liukas2011,PKDB00154,sex,10,80to90,,,1,sample mean,347.0,,,,,,,351,5975,,M,
153,Liukas2011,PKDB00154,sex,10,80to90,,,9,sample mean,347.0,,,,,,,351,5976,,F,
154,Liukas2011,PKDB00154,weight,10,80to90,,,10,sample mean,347.0,8.0,kilogram,,,,,351,5977,68.0,,
155,Liukas2011,PKDB00154,species,10,80to90,,,40,sample mean,347.0,,,,,,,351,5914,,homo sapiens,
156,Liukas2011,PKDB00154,overnight fast,10,80to90,,,40,sample mean,347.0,,,,,,,351,5915,,Y,
157,Liukas2011,PKDB00154,healthy,10,80to90,,,40,sample mean,347.0,,,,,,,351,5916,,Y,
158,Liukas2011,PKDB00154,medication,10,80to90,,,40,sample mean,347.0,,,,,,,351,5917,,N,
159,Turpault2009,PKDB00063,species,30,all,,,30,sample mean,,,,,,,,582,12751,,homo sapiens,
160,Turpault2009,PKDB00063,healthy,30,all,,,30,sample mean,,,,,,,,582,12752,,Y,
161,Turpault2009,PKDB00063,sex,30,all,,,30,sample mean,,,,,,,,582,12753,,M,
162,Turpault2009,PKDB00063,oral contraceptives,30,all,,,30,sample mean,,,,,,,,582,12754,,N,
163,Turpault2009,PKDB00063,medication,30,all,,,30,sample mean,,,,,,,,582,12755,,N,
164,Turpault2009,PKDB00063,abstinence,30,all,,grapefruit juice,30,sample mean,,,,,,,,582,12756,,,
165,Turpault2009,PKDB00063,smoking,30,all,,,30,sample mean,,,,,,,,582,12757,,N,
166,Turpault2009,PKDB00063,overnight fast,30,all,,,30,sample mean,,,,,,,,582,12758,,Y,
167,Chen1991,PKDB00091,species,8,all,,,8,sample mean,,,,,,,,936,19427,,homo sapiens,
168,Chen1991,PKDB00091,sex,8,all,,,7,sample mean,,,,,,,,936,19428,,M,
169,Chen1991,PKDB00091,sex,8,all,,,1,sample mean,,,,,,,,936,19429,,F,
170,Chen1991,PKDB00091,overnight fast,8,all,,,8,sample mean,,,,,,,,936,19430,,Y,
171,Chen1991,PKDB00091,age,8,all,37.0,,8,sample mean,,5.2,year,,25.0,,,936,19431,27.3,,
172,Chen1991,PKDB00091,healthy,8,all,,,8,sample mean,,,,,,,,936,19432,,Y,
173,Chen1991,PKDB00091,weight,8,all,83.0,,8,sample mean,,11.9,kilogram,,48.0,,,936,19433,67.9,,
174,Chen1991,PKDB00091,smoking,8,all,,,4,sample mean,,,,,,,,936,19434,,Y,
175,Chen1991,PKDB00091,abstinence alcohol,8,all,,,8,sample mean,,,day,,2.0,,,936,19435,,,
176,Chen1991,PKDB00091,abstinence medication,8,all,,,8,sample mean,,,day,,2.0,,,936,19436,,,
177,Chen1991,PKDB00091,species,1,PM,,,8,sample mean,936.0,,,,,,,937,19427,,homo sapiens,
178,Chen1991,PKDB00091,sex,1,PM,,,7,sample mean,936.0,,,,,,,937,19428,,M,
179,Chen1991,PKDB00091,sex,1,PM,,,1,sample mean,936.0,,,,,,,937,19429,,F,
180,Chen1991,PKDB00091,overnight fast,1,PM,,,8,sample mean,936.0,,,,,,,937,19430,,Y,
181,Chen1991,PKDB00091,age,1,PM,37.0,,8,sample mean,936.0,5.2,year,,25.0,,,937,19431,27.3,,
182,Chen1991,PKDB00091,healthy,1,PM,,,8,sample mean,936.0,,,,,,,937,19432,,Y,
183,Chen1991,PKDB00091,weight,1,PM,83.0,,8,sample mean,936.0,11.9,kilogram,,48.0,,,937,19433,67.9,,
184,Chen1991,PKDB00091,smoking,1,PM,,,4,sample mean,936.0,,,,,,,937,19434,,Y,
185,Chen1991,PKDB00091,abstinence alcohol,1,PM,,,8,sample mean,936.0,,day,,2.0,,,937,19435,,,
186,Chen1991,PKDB00091,abstinence medication,1,PM,,,8,sample mean,936.0,,day,,2.0,,,937,19436,,,
187,Chen1991,PKDB00091,species,7,EM,,,8,sample mean,936.0,,,,,,,938,19427,,homo sapiens,
188,Chen1991,PKDB00091,sex,7,EM,,,7,sample mean,936.0,,,,,,,938,19428,,M,
189,Chen1991,PKDB00091,sex,7,EM,,,1,sample mean,936.0,,,,,,,938,19429,,F,
190,Chen1991,PKDB00091,overnight fast,7,EM,,,8,sample mean,936.0,,,,,,,938,19430,,Y,
191,Chen1991,PKDB00091,age,7,EM,37.0,,8,sample mean,936.0,5.2,year,,25.0,,,938,19431,27.3,,
192,Chen1991,PKDB00091,healthy,7,EM,,,8,sample mean,936.0,,,,,,,938,19432,,Y,
193,Chen1991,PKDB00091,weight,7,EM,83.0,,8,sample mean,936.0,11.9,kilogram,,48.0,,,938,19433,67.9,,
194,Chen1991,PKDB00091,smoking,7,EM,,,4,sample mean,936.0,,,,,,,938,19434,,Y,
195,Chen1991,PKDB00091,abstinence alcohol,7,EM,,,8,sample mean,936.0,,day,,2.0,,,938,19435,,,
196,Chen1991,PKDB00091,abstinence medication,7,EM,,,8,sample mean,936.0,,day,,2.0,,,938,19436,,,
197,Shord2009,PKDB00106,age,30,Group1,,,30,sample mean,939.0,12.0,year,,,,,940,19591,30.0,,
198,Shord2009,PKDB00106,sex,30,Group1,,,9,sample mean,939.0,,,,,,,940,19592,,M,
199,Shord2009,PKDB00106,sex,30,Group1,,,21,sample mean,939.0,,,,,,,940,19593,,F,
200,Shord2009,PKDB00106,cyp2d6 genotype,30,Group1,,,21,sample mean,939.0,,,,,,,940,19594,,*other/*other,
201,Shord2009,PKDB00106,cyp2d6 genotype,30,Group1,,,5,sample mean,939.0,,,,,,,940,19595,,*other/*17,
202,Shord2009,PKDB00106,cyp2d6 genotype,30,Group1,,,2,sample mean,939.0,,,,,,,940,19596,,*other/*29,
203,Shord2009,PKDB00106,cyp2d6 genotype,30,Group1,,,1,sample mean,939.0,,,,,,,940,19597,,*other/*41,
204,Shord2009,PKDB00106,cyp2d6 genotype,30,Group1,,,1,sample mean,939.0,,,,,,,940,19598,,*17/*17,
205,Shord2009,PKDB00106,species,30,Group1,,,54,sample mean,939.0,,,,,,,940,19574,,homo sapiens,
206,Shord2009,PKDB00106,ethnicity,30,Group1,,,54,sample mean,939.0,,,,,,,940,19575,,african american,
207,Shord2009,PKDB00106,disease,30,Group1,,,54,sample mean,939.0,,,,,,,940,19576,,sickle cell disease,
208,Shord2009,PKDB00106,healthy,30,Group1,,,54,sample mean,939.0,,,,,,,940,19580,,N,
209,Shord2009,PKDB00106,medication,30,Group1,,codeine containing medication,54,sample mean,939.0,,,,,,,940,19581,,Y,
210,Shord2009,PKDB00106,fasting (duration),30,Group1,,,54,sample mean,939.0,,day,,0.3333333333333333,,,940,19582,,,
211,Shord2009,PKDB00106,sex,24,Group2,,,9,sample mean,939.0,,,,,,,941,19608,,M,
212,Shord2009,PKDB00106,cyp2d6 genotype,24,Group2,,,1,sample mean,939.0,,,,,,,941,19614,,*29/*29,
213,Shord2009,PKDB00106,age,24,Group2,,,24,sample mean,939.0,14.0,year,,,,,941,19607,31.0,,
214,Shord2009,PKDB00106,cyp2d6 genotype,24,Group2,,,4,sample mean,939.0,,,,,,,941,19612,,*other/*29,
215,Shord2009,PKDB00106,species,24,Group2,,,54,sample mean,939.0,,,,,,,941,19574,,homo sapiens,
216,Shord2009,PKDB00106,ethnicity,24,Group2,,,54,sample mean,939.0,,,,,,,941,19575,,african american,
217,Shord2009,PKDB00106,disease,24,Group2,,,54,sample mean,939.0,,,,,,,941,19576,,sickle cell disease,
218,Shord2009,PKDB00106,sex,24,Group2,,,15,sample mean,939.0,,,,,,,941,19609,,F,
219,Shord2009,PKDB00106,cyp2d6 genotype,24,Group2,,,13,sample mean,939.0,,,,,,,941,19610,,*other/*other,
220,Shord2009,PKDB00106,cyp2d6 genotype,24,Group2,,,2,sample mean,939.0,,,,,,,941,19611,,*other/*17,
221,Shord2009,PKDB00106,healthy,24,Group2,,,54,sample mean,939.0,,,,,,,941,19580,,N,
222,Shord2009,PKDB00106,medication,24,Group2,,codeine containing medication,54,sample mean,939.0,,,,,,,941,19581,,Y,
223,Shord2009,PKDB00106,fasting (duration),24,Group2,,,54,sample mean,939.0,,day,,0.3333333333333333,,,941,19582,,,
224,Shord2009,PKDB00106,cyp2d6 genotype,24,Group2,,,4,sample mean,939.0,,,,,,,941,19613,,*17/*17,
225,Yue1991,PKDB00114,sex,8,all,,,3,sample mean,,,,,,,,953,20000,,F,
226,Yue1991,PKDB00114,overnight fast,8,all,,,8,sample mean,,,,,,,,953,20001,,Y,
227,Yue1991,PKDB00114,medication,8,all,,,8,sample mean,,,,,,,,953,20002,,N,
228,Yue1991,PKDB00114,abstinence medication,8,all,,,8,sample mean,,,day,,28.0,,,953,20003,,,
229,Yue1991,PKDB00114,smoking,8,all,,,1,sample mean,,,,,,,,953,20004,,Y,
230,Yue1991,PKDB00114,smoking,8,all,,,7,sample mean,,,,,,,,953,20005,,N,
231,Yue1991,PKDB00114,smoking amount (cigarettes),8,all,,,1,sample mean,,,1 / day,,,,,953,20006,10.0,,
232,Yue1991,PKDB00114,age,8,all,,,8,sample mean,,5.47,year,,,,,953,20007,34.375,,
233,Yue1991,PKDB00114,weight,8,all,,,8,sample mean,,10.11,kilogram,,,,,953,20008,60.5,,
234,Yue1991,PKDB00114,species,8,all,,,8,sample mean,,,,,,,,953,19996,,homo sapiens,
235,Yue1991,PKDB00114,healthy,8,all,,,8,sample mean,,,,,,,,953,19997,,Y,
236,Yue1991,PKDB00114,ethnicity,8,all,,,8,sample mean,,,,,,,,953,19998,,chinese,
237,Yue1991,PKDB00114,sex,8,all,,,5,sample mean,,,,,,,,953,19999,,M,
238,Band1994,7983238,species,13,all,,,13,sample mean,,,,,,,,963,20279,,homo sapiens,
239,Band1994,7983238,sex,13,all,,,13,sample mean,,,,,,,,963,20280,,M,
240,Band1994,7983238,healthy,13,all,,,13,sample mean,,,,,,,,963,20281,,Y,
241,Band1994,7983238,smoking,13,all,,,13,sample mean,,,,,,,,963,20282,,N,
242,Band1994,7983238,alcohol,13,all,,,13,sample mean,,,,,,,,963,20283,,N,
243,Band1994,7983238,medication,13,all,,,13,sample mean,,,,,,,,963,20284,,N,
244,Band1994,7983238,overnight fast,13,all,,,13,sample mean,,,,,,,,963,20285,,N,
245,Band1994,7983238,age,13,all,,,13,sample mean,,,year,,6.9,,,963,20286,36.5,,
246,Yue1991a,PKDB00115,species,8,EM_SingleDose,,,20,sample mean,966.0,,,,,,,967,20418,,homo sapiens,
