,study_sid,study_name,output_pk,subset_pk,subset_name,intervention_pk,group_pk,individual_pk,normed,tissue,tissue_label,method,method_label,label,time,time_unit,measurement_type,measurement_type_label,choice,choice_label,substance,substance_label,value,mean,median,min,max,sd,se,cv,unit
10,PKDB00124,Perucca1979,"[6393, 6394, 6395, 6396, 6397, 6398, 6399, 6400, 6401]",147,epileptic_paracetamol oral,[120],82,,TRUE,serum,serum,,,epileptic_paracetamol oral,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.00010469188, 0.009637692, 0.008741684, 0.006631653, 0.005628589, 0.0039797795, 0.0026167717, 0.0016823354, 0.0010337886]",,,,"[nan, 0.00489983558223146, 0.00253654215875195, 0.0031493457046424702, 0.00218683022281761, 0.00218704479811908, 0.0019241702129541, 0.00139906501347752, 0.000962299755263212]","[nan, 0.0020003495, 0.001035539, 0.001285715, 0.0008927697, 0.0008928572999999999, 0.0007855392, 0.0005711659, 0.00039285723]","[nan, 0.5084034208845292, 0.29016630648647906, 0.47489603340863434, 0.38852192313519607, 0.5495391888216621, 0.735322157815334, 0.8316207419029047, 0.9308477141876124]",gram / liter
11,PKDB00124,Perucca1979,"[6331, 6332, 6333, 6334, 6335, 6336, 6337, 6338]",152,epileptic,[122],82,,TRUE,serum,serum,,,epileptic,"[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.012655071, 0.0089989, 0.0077728224, 0.006979222, 0.004560389, 0.0028665385, 0.0020250812, 0.0014642884000000001]",,,,"[0.0027686362108601398, 0.00410986044324543, 0.00286152233160032, 0.00226312276519326, 0.0017809806360092, 0.00164159291209407, 0.0013034259112154202, 0.0008381678698793929]","[0.001130291, 0.0016778435, 0.0011682116, 0.000923916, 0.0007270823, 0.0006701774999999999, 0.0005321214, 0.0003421806]","[0.21877682162827372, 0.45670698010261584, 0.36814456632899784, 0.3242657656101583, 0.3905326137768511, 0.5726742941335238, 0.6436413074277813, 0.572406275894416]",gram / liter
12,PKDB00124,Perucca1979,"[6384, 6385, 6386, 6387, 6388, 6389, 6390, 6391, 6392]",149,control_paracetamol iv,[122],81,,TRUE,serum,serum,,,control_paracetamol iv,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[nan, 0.015147673, 0.012072098, 0.010356733, 0.009142474999999999, 0.006749845, 0.005288089, 0.004220127, 0.003080308]",,,,"[nan, 0.00254323906370872, 0.000876905080467666, 0.00377027420800981, 0.00157821848872392, 0.00105249773247498, 0.0017538101609353301, 0.00122682448818321, 0.00122766760255268]","[nan, 0.001038273, 0.00035799500000000103, 0.001539208, 0.000644305000000001, 0.00042968040000000105, 0.00071599, 0.000500849000000001, 0.0005011932]","[nan, 0.16789635369793893, 0.07263899617677608, 0.36404088123250933, 0.17262486238397373, 0.1559291705920625, 0.33165292054186873, 0.2907079545670569, 0.39855352209995887]",gram / liter
13,PKDB00124,Perucca1979,"[6323, 6324, 6325, 6326, 6327, 6328, 6329, 6330]",151,control,[122],81,,TRUE,serum,serum,,,control,"[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.014785373999999999, 0.011999622000000001, 0.01060903, 0.0084775715, 0.0066250834000000005, 0.0050592803999999995, 0.0039234471000000005, 0.0027286966000000003]",,,,"[0.0026306564536491602, 0.00262239922372624, 0.00232351738429132, 0.00257086318428296, 0.00131161749481324, 0.0016417964646917, 0.00118836627447664, 0.00216087322496232]","[0.001073961, 0.00107059, 0.000948571999999999, 0.0010495505000000002, 0.000535465599999999, 0.000670260600000001, 0.0004851485, 0.0008821728]","[0.17792288877164422, 0.21854015265866206, 0.2190131788006368, 0.3032546743230606, 0.19797750694176014, 0.32451185443125474, 0.3028883133091408, 0.7919067385367503]",gram / liter
14,PKDB00124,Perucca1979,"[6402, 6403, 6404, 6405, 6406, 6407, 6408, 6409, 6410]",150,epileptic_paracetamol iv,[122],82,,TRUE,serum,serum,,,epileptic_paracetamol iv,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[nan, 0.013316001000000001, 0.0096345415, 0.008381915, 0.0070930495, 0.004515669, 0.003081495, 0.0020754552, 0.0013193277000000002]",,,,"[nan, 0.00437473234234667, 0.0031493444798976, 0.0027112912064918403, 0.00288689880038658, 0.0021872588835226, 0.0015738145511153701, 0.0015746718725253399, 0.00140056630574087]","[nan, 0.001785977, 0.0012857145, 0.0011068800000000002, 0.0011785715000000002, 0.0008929447, 0.0006425071, 0.0006428571, 0.0005717788000000001]","[nan, 0.3285319926265153, 0.32688057650668695, 0.32346918412938336, 0.40700389873024007, 0.4843709500237063, 0.510730846915335, 0.758711569647632, 1.0615757599426356]",gram / liter
15,PKDB00119,Malan1985,"[10124, 10125, 10126, 10127, 10128, 10129, 10130, 10131, 10132, 10133, 10134, 10135, 10136]",213,8.00h,[190],119,,TRUE,serum,serum,,,8.00h,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.005797812, 0.007293671, 0.009241026, 0.0086777525, 0.0075794134, 0.00662212, 0.0057071147, 0.0049471583, 0.0042578, 0.0036389647, 0.0020945203, 0.0011424657]",,,,,,,gram / liter
16,PKDB00119,Malan1985,"[10150, 10151, 10152, 10153, 10154, 10155, 10156, 10157, 10158, 10159, 10160, 10161, 10162]",214,20.00h,[194],119,,TRUE,serum,serum,,,20.00h,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.004641342, 0.0065038433, 0.0078870177, 0.008466208999999999, 0.008030783, 0.007143987, 0.0063136086, 0.0054832053, 0.0048361106, 0.0037941396, 0.0024753423, 0.0014386352]",,,,,,,gram / liter
17,PKDB00024,Baraka1990,"[13049, 13050, 13051, 13052, 13053, 13054, 13055, 13056, 13057, 13058, 13059]",259,paracetamol,[258],179,,TRUE,plasma,plasma,,,paracetamol,"[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0, 12.0, 24.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.018046225, 0.017720789, 0.015181168, 0.013610858, 0.008480085000000002, 0.006337935, 0.0050484349999999996, 0.0035403223000000004, 0.002013915, 0.0010847499, 0.0003844525]",,,,"[0.00448705064034272, 0.00533722898927899, 0.00612475945548966, 0.00514800145637217, 0.00405122237094065, 0.00333467650005108, 0.0035905322745743403, 0.00259653575124798, 0.0016518717081035398, 0.000843087447247767, 0.00026481583529114]","[0.00141893, 0.00168778, 0.0019368190000000002, 0.0016279410000000002, 0.0012811090000000001, 0.0010545173000000001, 0.0011354260000000001, 0.0008210967, 0.0005223677, 0.00026660766000000005, 8.374212000000001e-05]","[0.24864206449507972, 0.3011846136918051, 0.40344454757958415, 0.378227548650656, 0.4777336985349379, 0.5261455821258942, 0.7112168968352253, 0.7334179013159282, 0.8202291100188142, 0.7772182760724542, 0.6888128840133437]",gram / liter
18,PKDB00119,Malan1985,"[10137, 10138, 10139, 10140, 10141, 10142, 10143, 10144, 10145, 10146, 10147, 10148, 10149]",215,14.00h,[192],119,,TRUE,serum,serum,,,14.00h,"[0.0, 0.25, 0.5, 0.75, 1.0, 1.5, 2.0, 2.5, 3.0, 3.5, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.005938857, 0.00921191, 0.009509012, 0.009114967, 0.008200063, 0.0070170716999999995, 0.006116120300000001, 0.0052575583, 0.004568125, 0.003949264, 0.00224967, 0.0012975901000000002]",,,,,,,gram / liter
19,PKDB00024,Baraka1990,"[13060, 13061, 13062, 13063, 13064, 13065, 13066, 13067, 13068, 13069, 13070]",258,"paracetamol,propanolol","[258, 262]",179,,TRUE,plasma,plasma,,,"paracetamol,propanolol","[0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 5.0, 6.0, 8.0, 12.0, 24.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.026206171, 0.017243607999999997, 0.014505977, 0.013365408, 0.009898699, 0.007742547, 0.0057867055, 0.0042084675, 0.0028200176, 0.0016485611, 0.00060044473]",,,,"[0.012987132824324201, 0.00684704580901574, 0.00670819652151307, 0.00662356764677164, 0.00236354324420773, 0.0013738420426271801, 0.0022977694500150602, 0.0023683154374246904, 0.0026927796718352, 0.0016362193823690001, 0.000199882100158891]","[0.004106892, 0.002165226, 0.002121318, 0.002094556, 0.000747418, 0.00043444700000000105, 0.0007266185, 0.0007489271, 0.0008515317, 0.0005174180000000001, 6.32082700000001e-05]","[0.4955753675088284, 0.39707732911904176, 0.4624436204133696, 0.49557541728405446, 0.23877312000372272, 0.17744058158473952, 0.39707730936282487, 0.5627500835933009, 0.9548804489146451, 0.9925136425753344, 0.33289008991533825]",gram / liter
20,PKDB00021,Shinoda2007,"[13595, 13596, 13597, 13598, 13599, 13600, 13601, 13602, 13603]",264,paracetamol glucuronide,[270],188,,TRUE,plasma,plasma,,,paracetamol glucuronide,"[0.029723722, 0.25, 0.5, 0.75, 1.0, 2.0, 3.0, 4.0, 6.0]",hr,concentration,concentration,,,apapglu,paracetamol glucuronide,,"[0.0, 0.0009674250500000001, 0.004317359, 0.0057259550000000005, 0.0066055164, 0.010033304, 0.009226962, 0.008155732, 0.0052186084]",,,,"[nan, nan, 0.0014997959999999999, 0.0018531036, 0.0023819536000000002, 0.001941524, 0.001941153, 0.0014997959999999999, 0.0011474151]","[nan, nan, 0.0006707291616764548, 0.0008287331237899158, 0.0010652420337700687, 0.0008682759287894603, 0.0008681100125455298, 0.0006707291616764548, 0.0005131396324019438]","[nan, nan, 0.34738737269705855, 0.32363223252715045, 0.3606006640147015, 0.19350794115278477, 0.21037834554862153, 0.18389471355851317, 0.2198699369740025]",gram / liter
21,PKDB00021,Shinoda2007,"[13586, 13587, 13588, 13589, 13590, 13591, 13592, 13593, 13594]",265,paracetamol sulfate,[270],188,,TRUE,plasma,plasma,,,paracetamol sulfate,"[0.029723722, 0.25, 0.5, 0.75, 1.0, 2.0, 3.0, 4.0, 6.0]",hr,concentration,concentration,,,apapsul,paracetamol sulfate,,"[8.82342e-05, 0.0010560299, 0.0031701288, 0.0032550266, 0.0033404803, 0.0035045289999999997, 0.003138802, 0.0025969772, 0.0015129571]",,,,"[nan, nan, 0.0008819711, 0.0007939224, 0.0007941079, 0.0007942932, 0.0005292198, 0.0004413564, 0.000529776]","[nan, nan, 0.0003944294667580529, 0.00035505289105195576, 0.00035513584917392103, 0.0003552187178531672, 0.0002366742895677686, 0.00019738058254091761, 0.00023692302976958572]","[nan, nan, 0.278213017717135, 0.24390657821352366, 0.2377226711979113, 0.22664763224958334, 0.1686056654736425, 0.16995004807897426, 0.3501593006173143]",gram / liter
22,PKDB00021,Shinoda2007,"[13577, 13578, 13579, 13580, 13581, 13582, 13583, 13584, 13585]",266,paracetamol,[270],188,,TRUE,plasma,plasma,,,paracetamol,"[0.029723722, 0.25, 0.5, 0.75, 1.0, 2.0, 3.0, 4.0, 6.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.00017684828, 0.016325987, 0.01738933, 0.015538617000000001, 0.013865881, 0.010878045999999999, 0.00850843, 0.0070213647, 0.0047521873]",,,,"[nan, 0.003441782, 0.0021171099999999997, 0.0019413879999999998, 0.002382008, 0.002029813, 0.001500019, 0.0010584602999999999, 0.0007058911]","[nan, 0.0015392117031470362, 0.0009468003751689158, 0.0008682151077404722, 0.0010652663621896637, 0.0009077599699225562, 0.0006708288903082513, 0.00047335783645696406, 0.0003156840968624203]","[nan, 0.21081616688779672, 0.1217476464015577, 0.12493956186705675, 0.17178915641927117, 0.18659720688807532, 0.17629797741769043, 0.15074851474386453, 0.14854025219081746]",gram / liter
23,PKDB00021,Shinoda2007,"[13604, 13605, 13606, 13607, 13608, 13609, 13610, 13611, 13612]",267,paracetamol cysteine,[270],188,,TRUE,plasma,plasma,,,paracetamol cysteine,"[0.029723722, 0.25, 0.5, 0.75, 1.0, 2.0, 3.0, 4.0, 6.0]",hr,concentration,concentration,,,apapcys,paracetamol cysteine,,"[0.0, 0.0, 8.273067e-06, 3.4486607e-05, 6.953094e-05, 0.00015679786, 0.00016440165, 0.00015425088000000002, 0.00012519288]",,,,"[nan, nan, nan, nan, 4.4209777e-05, 6.192716e-05, 7.079515e-05, 5.307778e-05, 4.426555e-05]","[nan, nan, nan, nan, 1.9771213328421345e-05, 2.7694667882701177e-05, 3.166055357545885e-05, 2.3737104834955756e-05, 1.9796155772283163e-05]","[nan, nan, nan, nan, 0.6358288410885858, 0.3949490126969845, 0.43062311114274093, 0.3441003383578751, 0.3535788137472355]",gram / liter
24,PKDB00151,Prescott1981,"[20016, 20017, 20018, 20019, 20020, 20021, 20022, 20023, 20024]",454,paracetamol sulfate_patients,[394],238,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol sulfate_patients,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apapsul,paracetamol sulfate,,"[0.0, 0.0037501826, 0.005627966, 0.0055136714, 0.005198785, 0.00405384, 0.0029881167, 0.0017727185000000001, 0.0011155636]",,,,,,,gram / liter
25,PKDB00151,Prescott1981,"[19998, 19999, 20000, 20001, 20002, 20003, 20004, 20005, 20006]",453,paracetamol_patients,[394],238,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol_patients,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.016021074, 0.012361035, 0.009736723, 0.008187517, 0.0050500326, 0.00358574, 0.001453986, 0.0007965234500000001]",,,,,,,gram / liter
26,PKDB00151,Prescott1981,"[19989, 19990, 19991, 19992, 19993, 19994, 19995, 19996, 19997]",458,paracetamol sulfate_volunteers,[394],239,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol sulfate_volunteers,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apapsul,paracetamol sulfate,,"[0.0, 0.0037990055, 0.0054598374, 0.005576557, 0.0052176539999999995, 0.0046584144, 0.003821647, 0.0024656172000000003, 0.0015053297000000002]",,,,,,,gram / liter
27,PKDB00151,Prescott1981,"[19971, 19972, 19973, 19974, 19975, 19976, 19977, 19978, 19979]",455,paracetamol_volunteers,[394],239,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol_volunteers,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.01668938, 0.01657342, 0.014563974, 0.013067124, 0.00956135, 0.0070810646999999996, 0.0038558154, 0.0024058561]",,,,,,,gram / liter
28,PKDB00151,Prescott1981,"[20007, 20008, 20009, 20010, 20011, 20012, 20013, 20014, 20015]",457,paracetamol glucuronide_patients,[394],238,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),paracetamol glucuronide_patients,"[0.0, 0.5, 1.0, 1.5, 2.0, 3.0, 4.0, 6.0, 8.0]",hr,concentration,concentration,,,apapglu,paracetamol glucuronide,,"[0.0, 0.006618621, 0.013954851, 0.017345844, 0.018506327, 0.016086143, 0.01270961, 0.0073106947, 0.004342576]",,,,,,,gram / liter
29,PKDB00125,Renner2007,"[22665, 22666, 22667, 22668, 22670, 22671, 22672, 22673, 22674, 22675, 22676, 22669]",510,acetaminophen,[482],258,,TRUE,plasma,plasma,hplc,High-performance liquid chromatography (HPLC),acetaminophen,"[0.0, 20.0, 40.0, 60.0, 120.0, 150.0, 180.0, 210.0, 240.0, 300.0, 360.0, 90.0]",min,concentration,concentration,,,apap,paracetamol,,"[0.0, 0.006835335, 0.014729307, 0.013234635000000002, 0.010092096, 0.00895467, 0.007659506000000001, 0.0065614734, 0.005936916, 0.0044511156, 0.0036359219999999998, 0.011742182]",,,,"[0.0004798644, 0.0078894842, 0.006469746, 0.004181479, 0.002721924, 0.002642872, 0.0024458987, 0.0023666339000000002, 0.0021693443000000002, 0.0018540814000000002, 0.0017357921000000001, 0.003116082]","[9.795191047723368e-05, 0.001610434218645829, 0.001320631372117708, 0.0008535408266802718, 0.00055561040988628, 0.0005394739879574054, 0.0004992669814613925, 0.0004830871219144126, 0.0004428155509512629, 0.00037846278096542296, 0.00035431707871283946, 0.0006360675747226076]","[nan, 1.1542205612453522, 0.4392430682584048, 0.3159497031841074, 0.2697084926659437, 0.29513896101140524, 0.319328518053253, 0.36068635133078497, 0.3653991904214242, 0.4165430796719816, 0.4774008078281108, 0.26537503847240657]",gram / liter
